b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.30689999999999923 ,	1.1635986497901492 ,	-0.027923975130253006 ,	-0.7478975364305595 ,		-0.29305	1.182772913	-0.02529828383	-0.7514779499		
-0.3069499999999992 ,	1.163530750076568 ,	-0.02793379550429813 ,	-0.7478839478498202 ,		-0.293	1.182843452	-0.02528914137	-0.7514902172		
-0.3069999999999992 ,	1.163462859883411 ,	-0.027943618369320276 ,	-0.7478703544871425 ,		-0.29295	1.182914004	-0.02528000093	-0.7515024747		
-0.3070499999999992 ,	1.1633949792107665 ,	-0.027953443725703936 ,	-0.7478567563424228 ,		-0.2929	1.182984563	-0.02527086306	-0.75151473		
-0.3070999999999992 ,	1.16332710805881 ,	-0.027963271573819868 ,	-0.74784315341553 ,		-0.29285	1.183055133	-0.02526172757	-0.7515269805		
-0.3071499999999992 ,	1.1632592464277098 ,	-0.027973101914037582 ,	-0.747829545706332 ,		-0.2928	1.183125711	-0.02525259446	-0.7515392263		
-0.3071999999999992 ,	1.1631913943175647 ,	-0.02798293474674013 ,	-0.7478159332147256 ,		-0.29275	1.183196299	-0.02524346373	-0.7515514674		
-0.3072499999999992 ,	1.16312355172856 ,	-0.027992770072295965 ,	-0.7478023159405729 ,		-0.2927	1.183266897	-0.02523433539	-0.7515637037		
-0.3072999999999992 ,	1.163055718660796 ,	-0.028002607891085603 ,	-0.7477886938837683 ,		-0.29265	1.183337504	-0.02522520943	-0.7515759353		
-0.3073499999999992 ,	1.1629878951144466 ,	-0.028012448203480228 ,	-0.747775067044184 ,		-0.2926	1.183408121	-0.02521608585	-0.7515881622		
-0.3073999999999992 ,	1.1629200810896856 ,	-0.02802229100985035 ,	-0.7477614354216838 ,		-0.29255	1.183478747	-0.02520696465	-0.7516003843		
-0.30744999999999917 ,	1.1628522765865998 ,	-0.02803213631057711 ,	-0.747747799016173 ,		-0.2925	1.183549382	-0.02519784584	-0.7516126017		
-0.30749999999999916 ,	1.1627844816053976 ,	-0.02804198410602716 ,	-0.747734157827504 ,		-0.29245	1.183620027	-0.0251887294	-0.7516248144		
-0.30754999999999916 ,	1.1627166961461834 ,	-0.028051834396580388 ,	-0.7477205118555734 ,		-0.2924	1.183690682	-0.02517961534	-0.7516370223		
-0.30759999999999915 ,	1.162648920209077 ,	-0.028061687182615255 ,	-0.7477068611002702 ,		-0.29235	1.183761346	-0.02517050366	-0.7516492254		
-0.30764999999999915 ,	1.1625811537942914 ,	-0.028071542464493827 ,	-0.7476932055614505 ,		-0.2923	1.183832019	-0.02516139436	-0.7516614239		
-0.30769999999999914 ,	1.1625133969019186 ,	-0.02808140024260062 ,	-0.7476795452390144 ,		-0.29225	1.183902702	-0.02515228744	-0.7516736176		
-0.30774999999999914 ,	1.162445649532104 ,	-0.028091260517308567 ,	-0.7476658801328407 ,		-0.2922	1.183973394	-0.0251431829	-0.7516858065		
-0.30779999999999913 ,	1.1623779116850552 ,	-0.02810112328898147 ,	-0.7476522102427895 ,		-0.29215	1.184044096	-0.02513408073	-0.7516979908		
-0.3078499999999991 ,	1.1623101833608136 ,	-0.02811098855800983 ,	-0.7476385355687796 ,		-0.2921	1.184114808	-0.02512498094	-0.7517101703		
-0.3078999999999991 ,	1.1622424645596448 ,	-0.02812085632474846 ,	-0.7476248561106456 ,		-0.29205	1.184185528	-0.02511588353	-0.751722345		
-0.3079499999999991 ,	1.1621747552816035 ,	-0.028130726589585493 ,	-0.7476111718683056 ,		-0.292	1.184256259	-0.0251067885	-0.751734515		
